"kabupaten_kota";"nilai_investasi";"periode_update"
"Kab. Pamekasan";"0";"Triwulan I 2018"
"Kab. Probolinggo";"0";"Triwulan I 2018"
"Kab. Situbondo";"0";"Triwulan I 2018"
"Kab. Tulungagung";"0";"Triwulan I 2018"
"Kota Blitar";"0";"Triwulan I 2018"
"Kota Madiun";"0";"Triwulan I 2018"
"";"";"Triwulan I 2018"
"Kabupaten Bangkalan";"0.02";"Triwulan II 2018"
"Kabupaten Banyuwangi";"0.31";"Triwulan II 2018"
"Kabupaten Blitar";"0.91";"Triwulan II 2018"
"Kabupaten Bojonegoro";"0.01";"Triwulan II 2018"
"Kabupaten Bondowoso ";"0";"Triwulan II 2018"
"Kabupaten Gresik";"4.56";"Triwulan II 2018"
"Kabupaten Jember";"0.01";"Triwulan II 2018"
"Kabupaten Jombang";"0";"Triwulan II 2018"
"Kabupaten Kediri";"0.15";"Triwulan II 2018"
"Kabupaten Lamongan";"0.33";"Triwulan II 2018"
"Kabupaten Lumajang";"0.8";"Triwulan II 2018"
"Kabupaten Madiun";"0.55";"Triwulan II 2018"
"Kabupaten Magetan";"0.1";"Triwulan II 2018"
"Kabupaten Malang";"1.27";"Triwulan II 2018"
"Kabupaten Mojokerto";"0.75";"Triwulan II 2018"
"Kabupaten Nganjuk";"0.05";"Triwulan II 2018"
"Kabupaten Ngawi";"0.51";"Triwulan II 2018"
"Kabupaten Pacitan";"0";"Triwulan II 2018"
"Kabupaten Pamekasan";"0";"Triwulan II 2018"
"Kabupaten Pasuruan";"0.29";"Triwulan II 2018"
"Kabupaten  Ponorogo";"0";"Triwulan II 2018"
"Kabupaten Probolinggo";"0";"Triwulan II 2018"
"Kabupaten Sampang";"0";"Triwulan II 2018"
"Kabupaten Sidoarjo";"1.05";"Triwulan II 2018"
"Kabupaten Situbondo";"0.45";"Triwulan II 2018"
"Kabupaten Sumenep";"0";"Triwulan II 2018"
"Kabupaten Trenggalek ";"0";"Triwulan II 2018"
"Kabupaten Tuban";"0.01";"Triwulan II 2018"
"Kabupaten Tulungagung";"0";"Triwulan II 2018"
"Kota Batu";"0.05";"Triwulan II 2018"
"Kota Blitar";"0";"Triwulan II 2018"
"Kota Kediri";"0.04";"Triwulan II 2018"
"Kota Madiun";"0";"Triwulan II 2018"
"Kota Malang";"0.02";"Triwulan II 2018"
"Kota Mojokerto";"0";"Triwulan II 2018"
"Kota Pasuruan";"0";"Triwulan II 2018"
"Kota Probolinggo";"0";"Triwulan II 2018"
"Kota Surabaya";"4.41";"Triwulan II 2018"
"Kabupaten Bangkalan";"0.014779";"Triwulan I 2019"
"Kabupaten Banyuwangi";"0.005116";"Triwulan I 2019"
"Kabupaten Blitar";"0.725655";"Triwulan I 2019"
"Kabupaten Bojonegoro";"0";"Triwulan I 2019"
"Kabupaten Bondowoso";"";"Triwulan I 2019"
"Kabupaten Gresik";"0.899359";"Triwulan I 2019"
"Kabupaten Jember";"0.119047";"Triwulan I 2019"
"Kabupaten Jombang";"0.006748";"Triwulan I 2019"
"Kabupaten Kediri";"0.049256";"Triwulan I 2019"
"Kabupaten Lamongan";"0.057122";"Triwulan I 2019"
"Kabupaten Lumajang";"0.018108";"Triwulan I 2019"
"Kabupaten Madiun";"0.004322";"Triwulan I 2019"
"Kabupaten Magetan";"0";"Triwulan I 2019"
"Kabupaten Malang";"0.012088";"Triwulan I 2019"
"Kabupaten Mojokerto";"0.105231";"Triwulan I 2019"
"Kabupaten Nganjuk";"0.048377";"Triwulan I 2019"
"Kabupaten Ngawi";"";"Triwulan I 2019"
"Kabupaten Pacitan";"0.001072";"Triwulan I 2019"
"Kabupaten Pamekasan";"";"Triwulan I 2019"
"Kabupaten Pasuruan";"6.312501";"Triwulan I 2019"
"Kabupaten Ponorogo";"0.018245";"Triwulan I 2019"
"Kabupaten Probolinggo";"0";"Triwulan I 2019"
"Kabupaten Sampang";"";"Triwulan I 2019"
"Kabupaten Sidoarjo";"0.1737682";"Triwulan I 2019"
"Kabupaten Situbondo";"0.030017";"Triwulan I 2019"
"Kabupaten Sumenep";"0";"Triwulan I 2019"
"Kabupaten Trenggalek";"0.00036";"Triwulan I 2019"
"Kabupaten Tuban";"0.0336556";"Triwulan I 2019"
