"kabupaten_kota";"nilai_investasi";"periode_update"
"Kabupaten Blitar";"0.0598";"Triwulan I 2021"
"Kabupaten Bojonegoro";"0.021613";"Triwulan I 2021"
"Kabupaten Bondowoso";"0.0481414";"Triwulan I 2021"
"Kabupaten Gresik";"0.6657084";"Triwulan I 2021"
"Kabupaten Jember";"0.0442537";"Triwulan I 2021"
"Kabupaten Jombang";"0.3189228";"Triwulan I 2021"
"Kabupaten Kediri";"1.1010378";"Triwulan I 2021"
"Kabupaten Lamongan";"0.0550531";"Triwulan I 2021"
"Kabupaten Lumajang";"0.0361017";"Triwulan I 2021"
"Kabupaten Madiun";"0.071074";"Triwulan I 2021"
"Kabupaten Magetan";"0";"Triwulan I 2021"
"Kabupaten Malang";"0.1624969";"Triwulan I 2021"
"Kabupaten Mojokerto";"0.1619299";"Triwulan I 2021"
"Kabupaten Nganjuk";"0.0587824";"Triwulan I 2021"
"Kabupaten Ngawi";"0.0020988";"Triwulan I 2021"
"Kabupaten Pacitan";"9.1E-5";"Triwulan I 2021"
"Kabupaten Pamekasan";"0.0050847";"Triwulan I 2021"
"Kabupaten Pasuruan";"0.4581613";"Triwulan I 2021"
"Kabupaten Ponorogo";"0.0628842";"Triwulan I 2021"
"Kabupaten Probolinggo";"0.0424001";"Triwulan I 2021"
"Kabupaten Sampang";"0.000585";"Triwulan I 2021"
"Kabupaten Sidoarjo";"1.020447";"Triwulan I 2021"
"Kabupaten Situbondo";"0.0066";"Triwulan I 2021"
"Kabupaten Sumenep";"0.0056";"Triwulan I 2021"
"Kabupaten Trenggalek";"0.0070713";"Triwulan I 2021"
"Kabupaten Tuban";"0.0451761";"Triwulan I 2021"
"Kabupaten Tulungagung";"0.0229192";"Triwulan I 2021"
"Kota Batu";"0.0256274";"Triwulan I 2021"
"Kota Blitar";"0.0020416";"Triwulan I 2021"
"Kota Kediri";"0.0199316";"Triwulan I 2021"
"Kota Madiun";"0.0158413";"Triwulan I 2021"
"Kota Malang";"0.4762124";"Triwulan I 2021"
"Kota Mojokerto";"0.0474731";"Triwulan I 2021"
"Kota Pasuruan";"0.0043375";"Triwulan I 2021"
"Kota Probolinggo";"3.6E-6";"Triwulan I 2021"
"Kota Surabaya";"4.6261631";"Triwulan I 2021"
"Kabupaten Bangkalan";"0.0011183";"Triwulan II 2021"
"Kabupaten Banyuwangi";"0.2142121";"Triwulan II 2021"
"Kabupaten Blitar";"0.1042788";"Triwulan II 2021"
"Kabupaten Bojonegoro";"0.002539";"Triwulan II 2021"
"Kabupaten Bondowoso";"0.0017143";"Triwulan II 2021"
"Kabupaten Gresik";"3.3741775";"Triwulan II 2021"
"Kabupaten Jember";"0.0169126";"Triwulan II 2021"
"Kabupaten Jombang";"0.2227736";"Triwulan II 2021"
"Kabupaten Kediri";"0.5087762";"Triwulan II 2021"
"Kabupaten Lamongan";"0.011828";"Triwulan II 2021"
"Kabupaten Lumajang";"0.014693";"Triwulan II 2021"
"Kabupaten Madiun";"0.0444917";"Triwulan II 2021"
"Kabupaten Magetan";"0.0005619";"Triwulan II 2021"
"Kabupaten Malang";"0.8553221";"Triwulan II 2021"
"Kabupaten Mojokerto";"0.3324698";"Triwulan II 2021"
"Kabupaten Nganjuk";"0.0030676";"Triwulan II 2021"
"Kabupaten Ngawi";"0.0043858";"Triwulan II 2021"
"Kabupaten Pacitan";"0.0115562";"Triwulan II 2021"
"Kabupaten Pamekasan";"0.1161564";"Triwulan II 2021"
"Kabupaten Pasuruan";"0.6681076";"Triwulan II 2021"
"Kabupaten Ponorogo";"0.0141525";"Triwulan II 2021"
"Kabupaten Probolinggo";"0.1619398";"Triwulan II 2021"
"Kabupaten Sampang";"0.00164";"Triwulan II 2021"
"Kabupaten Sidoarjo";"1.0552193";"Triwulan II 2021"
"Kabupaten Situbondo";"0.014703";"Triwulan II 2021"
"Kabupaten Sumenep";"0.0015991";"Triwulan II 2021"
"Kabupaten Trenggalek";"0.0289109";"Triwulan II 2021"
"Kabupaten Tuban";"0.0491248";"Triwulan II 2021"
"Kabupaten Tulungagung";"0.0590502";"Triwulan II 2021"
"Kota Batu";"0.0054234";"Triwulan II 2021"
"Kota Blitar";"0.0007346";"Triwulan II 2021"
"Kota Kediri";"1.5960238";"Triwulan II 2021"
"Kota Madiun";"0.0311454";"Triwulan II 2021"
"Kota Malang";"0.0297162";"Triwulan II 2021"
"Kota Mojokerto";"0.2595727";"Triwulan II 2021"
"Kota Pasuruan";"0.0004992";"Triwulan II 2021"
"Kota Probolinggo";"0.0029374";"Triwulan II 2021"
"Kota Surabaya";"4.068984";"Triwulan II 2021"
"Kabupaten Bangkalan";"0.0028947";"Triwulan III 2021"
"Kabupaten Banyuwangi";"0.2360593";"Triwulan III 2021"
"Kabupaten Blitar";"0.0252335";"Triwulan III 2021"
"Kabupaten Bojonegoro";"0.0202439";"Triwulan III 2021"
"Kabupaten Bondowoso";"0.0437807";"Triwulan III 2021"
"Kabupaten Gresik";"0.8232679";"Triwulan III 2021"
"Kabupaten Jember";"0.0004655";"Triwulan III 2021"
"Kabupaten Jombang";"0.3763657";"Triwulan III 2021"
"Kabupaten Kediri";"0.2912616";"Triwulan III 2021"
"Kabupaten Lamongan";"0.0825617";"Triwulan III 2021"
"Kabupaten Lumajang";"0.0036996";"Triwulan III 2021"
"Kabupaten Madiun";"0.0364707";"Triwulan III 2021"
"Kabupaten Magetan";"0.0037578";"Triwulan III 2021"
"Kabupaten Malang";"0.0359262";"Triwulan III 2021"
"Kabupaten Mojokerto";"0.085809";"Triwulan III 2021"
"Kabupaten Nganjuk";"0.0045265";"Triwulan III 2021"
"Kabupaten Ngawi";"0.0051763";"Triwulan III 2021"
"Kabupaten Pacitan";"0.0496351";"Triwulan III 2021"
"Kabupaten Pamekasan";"0.0142242";"Triwulan III 2021"
"Kabupaten Pasuruan";"0.4283097";"Triwulan III 2021"
"Kabupaten Ponorogo";"0.0072831";"Triwulan III 2021"
"Kabupaten Probolinggo";"0.1218572";"Triwulan III 2021"
"Kabupaten Sampang";"0.001435";"Triwulan III 2021"
"Kabupaten Sidoarjo";"0.2444417";"Triwulan III 2021"
"Kabupaten Situbondo";"0.0005";"Triwulan III 2021"
"Kabupaten Sumenep";"0.0078534";"Triwulan III 2021"
"Kabupaten Trenggalek";"0.0016073";"Triwulan III 2021"
"Kabupaten Tuban";"0.203865";"Triwulan III 2021"
"Kabupaten Tulungagung";"0.0109514";"Triwulan III 2021"
"Kota Batu";"0.0130014";"Triwulan III 2021"
"Kota Blitar";"0.0295339";"Triwulan III 2021"
"Kota Kediri";"0.0128061";"Triwulan III 2021"
"Kota Madiun";"0.0132709";"Triwulan III 2021"
"Kota Malang";"0.0461234";"Triwulan III 2021"
"Kota Mojokerto";"0.0017518";"Triwulan III 2021"
"Kota Pasuruan";"0.0016136";"Triwulan III 2021"
"Kota Probolinggo";"0.0261912";"Triwulan III 2021"
"Kota Surabaya";"9.2306115";"Triwulan III 2021"
"Kota Surabaya";"6.68";"Triwulan I 2022"
"Kabupaten Sidoarjo";"2.47";"Triwulan I 2022"
"Kabupaten Gresik";"1.76";"Triwulan I 2022"
"Kabupaten Kediri";"1.09";"Triwulan I 2022"
"Kabupaten Mojokerto";"0.59";"Triwulan I 2022"
"Kabupaten Pasuruan";"0.48";"Triwulan I 2022"
"Kabupaten Probolinggo";"0.4";"Triwulan I 2022"
"Kabupaten Banyuwangi";"0.29";"Triwulan I 2022"
"Kabupaten Ngawi";"0.21";"Triwulan I 2022"
"Kabupaten Jombang";"0.19";"Triwulan I 2022"
"Kabupaten Lamongan";"0.18";"Triwulan I 2022"
"Kabupaten Malang";"0.17";"Triwulan I 2022"
"Kabupaten Tuban";"0.13";"Triwulan I 2022"
"Kota Malang";"0.13";"Triwulan I 2022"
"Kabupaten Ponorogo";"0.1";"Triwulan I 2022"
"Kabupaten Magetan";"0.08";"Triwulan I 2022"
"Kabupaten Jember";"0.08";"Triwulan I 2022"
"Kota Mojokerto";"0.07";"Triwulan I 2022"
"Kabupaten Nganjuk";"0.06";"Triwulan I 2022"
"Kabupaten Blitar";"0.05";"Triwulan I 2022"
"Kota Kediri";"0.04";"Triwulan I 2022"
"Kabupaten Madiun";"0.04";"Triwulan I 2022"
"Kota Madiun";"0.03";"Triwulan I 2022"
"Kabupaten Bangkalan";"0.02";"Triwulan I 2022"
"Kabupaten Pacitan";"0.01";"Triwulan I 2022"
"Kabupaten Tulungagung";"0.01";"Triwulan I 2022"
"Kabupaten Bojonegoro";"0.01";"Triwulan I 2022"
"Kabupaten Sampang";"0.01";"Triwulan I 2022"
"Kota Batu";"0.01";"Triwulan I 2022"
"Kabupaten Situbondo";"0";"Triwulan I 2022"
"Kabupaten Pamekasan";"0";"Triwulan I 2022"
"Kota Probolinggo";"0";"Triwulan I 2022"
"Kota Blitar";"0";"Triwulan I 2022"
"Kabupaten Trenggalek";"0";"Triwulan I 2022"
"Kabupaten Sumenep";"0";"Triwulan I 2022"
"Kota Pasuruan";"0";"Triwulan I 2022"
"Kabupaten Lumajang";"0";"Triwulan I 2022"
"Kabupaten Bondowoso";"0";"Triwulan I 2022"
"Grand Total";"15.39";"Triwulan I 2022"
"Kabupaten Bangkalan";"0.05";"Triwulan II 2022"
"Kabupaten Banyuwangi";"0.66";"Triwulan II 2022"
"Kabupaten Blitar";"0.01";"Triwulan II 2022"
"Kabupaten Bojonegoro";"0.01";"Triwulan II 2022"
"Kabupaten Bondowoso";"0.19";"Triwulan II 2022"
"Kabupaten Gresik";"1.41";"Triwulan II 2022"
"Kabupaten Jember";"0.05";"Triwulan II 2022"
"Kabupaten Jombang";"0.33";"Triwulan II 2022"
"Kabupaten Kediri";"0.33";"Triwulan II 2022"
"Kabupaten Lamongan";"0.52";"Triwulan II 2022"
"Kabupaten Lumajang";"0.15";"Triwulan II 2022"
"Kabupaten Madiun";"0.05";"Triwulan II 2022"
"Kabupaten Magetan";"0";"Triwulan II 2022"
"Kabupaten Malang";"1.67";"Triwulan II 2022"
"Kabupaten Mojokerto";"0.98";"Triwulan II 2022"
"Kabupaten Nganjuk";"0.17";"Triwulan II 2022"
"Kabupaten Ngawi";"0.15";"Triwulan II 2022"
"Kabupaten Pacitan";"0.02";"Triwulan II 2022"
"Kabupaten Pamekasan";"0.01";"Triwulan II 2022"
"Kabupaten Pasuruan";"1.92";"Triwulan II 2022"
"Kabupaten Ponorogo";"0.02";"Triwulan II 2022"
"Kabupaten Probolinggo";"0.18";"Triwulan II 2022"
"Kabupaten Sampang";"0";"Triwulan II 2022"
"Kabupaten Sidoarjo";"2.95";"Triwulan II 2022"
"Kabupaten Situbondo";"0.01";"Triwulan II 2022"
"Kabupaten Sumenep";"0";"Triwulan II 2022"
"Kabupaten Trenggalek";"0.02";"Triwulan II 2022"
"Kabupaten Tuban";"0.36";"Triwulan II 2022"
"Kabupaten Tulungagung";"0";"Triwulan II 2022"
"Kota Batu";"0";"Triwulan II 2022"
"Kota Blitar";"0.01";"Triwulan II 2022"
"Kota Kediri";"0.05";"Triwulan II 2022"
"Kota Madiun";"0.01";"Triwulan II 2022"
"Kota Malang";"0.17";"Triwulan II 2022"
"Kota Mojokerto";"0.03";"Triwulan II 2022"
"Kota Pasuruan";"0";"Triwulan II 2022"
"Kota Probolinggo";"0.02";"Triwulan II 2022"
"Kota Surabaya";"6.13";"Triwulan II 2022"
